Milliseconds,Latitude,Longitude,Altitude
15350,35.7021674,51.3528266,1197.0
15375,35.7021674,51.3528266,1197.0
15401,35.7021674,51.3528266,1197.0
15425,35.7021674,51.3528266,1197.0
15450,35.7021674,51.3528266,1197.0
15475,35.7021674,51.3528266,1197.0
15500,35.7021674,51.3528266,1197.0
15525,35.7021674,51.3528266,1197.0
15550,35.7021674,51.3528266,1197.0
15576,35.7021674,51.3528266,1197.0
15600,35.7021674,51.3528266,1197.0
15625,35.7021674,51.3528266,1197.0
15651,35.7021674,51.3528266,1197.0
15675,35.7021674,51.3528266,1197.0
15700,35.7021674,51.3528266,1197.0
15726,35.7021674,51.3528266,1197.0
15750,35.7021674,51.3528266,1197.0
15776,35.7021674,51.3528266,1197.0
15800,35.7021674,51.3528266,1197.0
15825,35.7021674,51.3528266,1197.0
15851,35.7021674,51.3528266,1197.0
15875,35.7021674,51.3528266,1197.0
15901,35.7021674,51.3528266,1197.0
15925,35.7021674,51.3528266,1197.0
15950,35.7021674,51.3528266,1197.0
15976,35.7021674,51.3528266,1197.0
16000,35.7021674,51.3528266,1197.0
16025,35.7021674,51.3528266,1197.0
16050,35.7021674,51.3528266,1197.0
16076,35.7021674,51.3528266,1197.0
16100,35.7021674,51.3528266,1197.0
16125,35.7021674,51.3528266,1197.0
16151,35.7021674,51.3528266,1197.0
16176,35.7021674,51.3528266,1197.0
16200,35.7021674,51.3528266,1197.0
16225,35.7021674,51.3528266,1197.0
16250,35.7021674,51.3528266,1197.0
16276,35.7021639,51.3527931,1197.0
16300,35.7021639,51.3527931,1197.0
16325,35.7021639,51.3527931,1197.0
16351,35.7021639,51.3527931,1197.0
16375,35.7021639,51.3527931,1197.0
16400,35.7021639,51.3527931,1197.0
16426,35.7021639,51.3527931,1197.0
16450,35.7021639,51.3527931,1197.0
16475,35.7021639,51.3527931,1197.0
16500,35.7021639,51.3527931,1197.0
16526,35.7021639,51.3527931,1197.0
16550,35.7021639,51.3527931,1197.0
16576,35.7021639,51.3527931,1197.0
16600,35.7021639,51.3527931,1197.0
16626,35.7021639,51.3527931,1197.0
16650,35.7021639,51.3527931,1197.0
16675,35.7021639,51.3527931,1197.0
16700,35.7021639,51.3527931,1197.0
16726,35.7021639,51.3527931,1197.0
16750,35.7021639,51.3527931,1197.0
16776,35.7021639,51.3527931,1197.0
16800,35.7021639,51.3527931,1197.0
16825,35.7021639,51.3527931,1197.0
16850,35.7021639,51.3527931,1197.0
16875,35.7021639,51.3527931,1197.0
16900,35.7021639,51.3527931,1197.0
16925,35.7021639,51.3527931,1197.0
16951,35.7021639,51.3527931,1197.0
16975,35.7021639,51.3527931,1197.0
17000,35.7021639,51.3527931,1197.0
17026,35.7021639,51.3527931,1197.0
17050,35.7021639,51.3527931,1197.0
17075,35.7021639,51.3527931,1197.0
17100,35.7021639,51.3527931,1197.0
17126,35.7021639,51.3527931,1197.0
17150,35.7021639,51.3527931,1197.0
17175,35.7021639,51.3527931,1197.0
17200,35.7021639,51.3527931,1197.0
17225,35.7021639,51.3527931,1197.0
17251,35.7021639,51.3527931,1197.0
17275,35.7021639,51.3527931,1197.0
17300,35.7021639,51.3527931,1197.0
17326,35.7021639,51.3527931,1197.0
17350,35.7021639,51.3527931,1197.0
17375,35.7021639,51.3527931,1197.0
17401,35.7021639,51.3527931,1197.0
17425,35.7021639,51.3527931,1197.0
